x,y,timestamp,targetX,targetY,user,error,dt_sec,in_bookshelf,in_sofa_web,in_sofa_game,in_phone,in_lamp,in_tv,in_files
825.78,135.97,8552.700000047684,834.75,143.53,5,,33.89999985694885,False,False,False,False,True,False,False
834.61,143.13,8589.200000047684,834.73,143.47,5,,36.5,False,False,False,False,True,False,False
824.23,140.46,8625.5,833.15,143.01,5,,36.299999952316284,False,False,False,False,True,False,False
814.89,140.02,8661.0,830.41,142.57,5,,35.5,False,False,False,False,True,False,False
814.98,140.48,8697.800000190735,828.1,142.25,5,,36.80000019073486,False,False,False,False,True,False,False
816.4,141.45,8730.100000143051,826.34,142.13,5,,32.299999952316284,False,False,False,False,True,False,False
817.88,142.3,8763.400000095367,825.07,142.16,5,,33.299999952316284,False,False,False,False,True,False,False
838.17,148.27,8796.400000095367,827.04,143.07,5,,33.0,False,False,False,False,True,False,False
856.88,153.87,8830.0,831.51,144.69,5,,33.59999990463257,False,False,False,False,True,False,False
872.55,158.52,8864.600000143051,837.67,146.77,5,,34.60000014305115,False,False,False,False,True,False,False
878.3,163.34,8898.0,843.77,149.25,5,,33.39999985694885,False,False,False,False,True,False,False
894.02,169.29,8934.400000095367,851.3,152.26,5,,36.40000009536743,False,False,False,False,True,False,False
905.9,173.02,8967.300000190735,859.49,155.37,5,,32.90000009536743,False,False,False,False,True,False,False
929.02,179.0,9003.100000143051,869.92,158.92,5,,35.799999952316284,False,False,False,False,False,False,False
936.5,172.73,9036.0,879.91,160.99,5,,32.89999985694885,False,False,False,False,False,False,False
934.1,164.13,9069.200000047684,888.04,161.46,5,,33.200000047683716,False,False,False,False,False,False,False
932.51,151.09,9102.700000047684,894.71,159.9,5,,33.5,False,False,False,False,False,False,False
923.96,134.46,9136.0,899.1,156.09,5,,33.299999952316284,False,False,False,False,False,False,False
931.38,124.68,9170.100000143051,903.94,151.38,5,,34.10000014305115,False,False,False,False,False,False,False
867.07,91.94,9203.5,898.41,142.46,5,,33.39999985694885,False,False,False,False,True,False,False
810.28,65.68,9236.400000095367,885.19,130.94,5,,32.90000009536743,False,False,False,False,False,False,False
762.64,44.37,9269.0,866.81,117.96,5,,32.59999990463257,False,False,False,False,False,False,False
697.2,17.08,9302.5,841.37,102.83,5,,33.5,False,False,False,False,False,False,False
564.1,40.03,9685.100000143051,799.78,93.41,5,,382.60000014305115,False,False,False,False,False,False,False
573.25,72.43,9727.200000047684,765.8,90.26,5,,42.09999990463257,False,False,False,False,False,False,False
596.03,116.21,9761.300000190737,740.33,94.15,5,,34.10000014305297,False,False,False,False,False,False,False
483.95,125.6,9801.100000143051,701.88,98.87,5,,39.799999952314465,False,False,False,False,False,False,False
394.75,167.82,9839.5,655.81,109.21,5,,38.39999985694885,False,False,False,False,False,False,False
341.03,216.13,9882.5,608.59,125.25,5,,43.0,False,False,False,False,False,False,False
300.61,248.25,9920.100000143051,562.39,143.7,5,,37.60000014305115,False,False,False,False,False,False,False
276.32,275.59,9953.300000190737,519.48,163.48,5,,33.200000047685535,True,False,False,False,False,False,False
250.86,292.99,9987.400000095367,479.19,182.91,5,,34.09999990463075,True,False,False,False,False,False,False
235.13,300.62,10024.5,442.58,200.57,5,,37.09999990463257,True,False,False,False,False,False,False
302.8,293.03,10058.900000095367,421.61,214.44,5,,34.40000009536743,False,False,False,False,False,False,False
262.71,298.72,10098.600000143051,397.78,227.08,5,,39.700000047683716,True,False,False,False,False,False,False
222.91,306.25,10138.900000095367,371.55,238.96,5,,40.299999952316284,True,False,False,False,False,False,False
190.68,310.85,10180.700000047684,344.42,249.74,5,,41.799999952316284,True,False,False,False,False,False,False
63.76,312.05,10227.100000143051,302.32,259.09,5,,46.40000009536743,True,False,False,False,False,False,False
108.9,297.72,10268.400000095367,273.31,264.88,5,,41.299999952316284,True,False,False,False,False,False,False
86.43,285.57,10316.100000143051,245.27,267.98,5,,47.700000047683716,True,False,False,False,False,False,False
159.79,269.94,10361.700000047684,232.45,268.28,5,,45.59999990463257,True,False,False,False,False,False,False
168.55,262.43,10405.200000047684,222.87,267.4,5,,43.5,True,False,False,False,False,False,False
191.42,256.93,10450.5,218.15,265.83,5,,45.299999952316284,True,False,False,False,False,False,False
162.36,266.89,10499.400000095367,209.78,265.99,5,,48.90000009536743,True,False,False,False,False,False,False
244.41,241.15,10541.600000143051,214.98,262.26,5,,42.200000047683716,True,False,False,False,False,False,False
356.19,196.66,10583.200000047684,236.16,252.42,5,,41.59999990463257,False,False,False,False,False,False,False
404.07,178.82,10629.100000143051,261.35,241.38,5,,45.90000009536743,False,False,False,False,False,False,False
492.18,155.81,10669.900000095367,295.97,228.55,5,,40.799999952316284,False,False,False,False,False,False,False
523.78,161.25,10714.700000047684,330.14,218.45,5,,44.799999952316284,False,False,False,False,False,False,False
609.93,127.5,10764.100000143051,372.11,204.81,5,,49.40000009536743,False,False,False,False,False,False,False
735.22,91.28,10820.600000143051,426.58,187.78,5,,56.5,False,False,False,False,False,False,False
814.39,76.12,10860.400000095367,484.75,171.03,5,,39.799999952316284,False,False,False,False,False,False,False
864.49,54.12,10899.800000190737,541.71,153.49,5,,39.40000009536925,False,False,False,False,False,False,False
892.35,42.0,10948.200000047684,594.31,136.77,5,,48.39999985694703,False,False,False,False,False,False,False
889.69,27.36,10999.900000095367,638.61,120.36,5,,51.700000047683716,False,False,False,False,False,False,False
922.04,29.08,11040.100000143051,681.13,106.67,5,,40.200000047683716,False,False,False,False,False,False,False
947.15,27.39,11078.0,721.03,94.78,5,,37.89999985694885,False,False,False,False,False,False,False
967.37,27.22,11119.5,757.98,84.64,5,,41.5,False,False,False,False,False,False,False
965.14,32.58,11165.800000190737,789.06,76.83,5,,46.30000019073668,False,False,False,False,False,False,False
944.17,32.23,11209.300000190737,812.32,70.14,5,,43.5,False,False,False,False,False,False,False
921.81,32.54,11251.700000047684,828.75,64.5,5,,42.39999985694703,False,False,False,False,False,False,False
925.85,38.77,11292.0,843.31,60.64,5,,40.299999952316284,False,False,False,False,False,False,False
937.92,43.65,11352.600000143051,857.5,58.09,5,,60.60000014305115,False,False,False,False,False,False,False
945.51,48.47,11391.400000095367,870.7,56.65,5,,38.799999952316284,False,False,False,False,False,False,False
959.27,53.63,11433.0,883.99,56.2,5,,41.59999990463257,False,False,False,False,False,False,False
965.06,57.91,11471.300000190737,896.15,56.45,5,,38.30000019073668,False,False,False,False,False,False,False
991.0,62.1,11510.100000143051,910.38,57.3,5,,38.799999952314465,False,False,False,False,False,False,False
992.86,64.59,11549.900000095367,922.75,58.39,5,,39.799999952316284,False,False,False,False,False,False,False
996.25,64.51,11587.400000095367,933.77,59.31,5,,37.5,False,False,False,False,False,False,False
1011.62,73.2,11624.800000190737,945.45,61.39,5,,37.40000009536925,False,False,False,False,False,False,False
1010.11,71.33,11662.800000190737,955.15,62.88,5,,38.0,False,False,False,False,False,False,False
1013.29,71.85,11717.300000190737,963.87,64.23,5,,54.5,False,False,False,False,False,False,False
998.68,69.5,11765.700000047684,969.09,65.02,5,,48.39999985694703,False,False,False,False,False,False,False
993.4,66.83,11806.800000190737,972.74,65.29,5,,41.10000014305297,False,False,False,False,False,False,False
1003.52,65.26,11844.900000095367,977.36,65.29,5,,38.09999990463075,False,False,False,False,False,False,False
1005.19,64.93,11885.200000047684,981.53,65.23,5,,40.299999952316284,False,False,False,False,False,False,False
1007.4,65.44,11923.200000047684,985.41,65.26,5,,38.0,False,False,False,False,False,False,False
1012.48,66.14,11958.400000095367,989.47,65.4,5,,35.200000047683716,False,False,False,False,False,False,False
1008.26,63.59,11996.800000190737,992.29,65.12,5,,38.40000009536925,False,False,False,False,False,False,False
1002.39,61.14,12032.200000047684,993.8,64.53,5,,35.39999985694703,False,False,False,False,False,False,False
997.35,55.17,12081.300000190737,994.33,63.12,5,,49.10000014305297,False,False,False,False,False,False,False
994.99,53.3,12123.100000143051,994.43,61.65,5,,41.799999952314465,False,False,False,False,False,False,False
1002.36,52.39,12183.800000190737,995.62,60.26,5,,60.700000047685535,False,False,False,False,False,False,False
1002.86,53.61,12234.600000143051,996.71,59.26,5,,50.799999952314465,False,False,False,False,False,False,False
982.22,49.31,12278.800000190737,994.53,57.77,5,,44.200000047685535,False,False,False,False,False,False,False
989.15,52.83,12334.600000143051,993.73,57.03,5,,55.799999952314465,False,False,False,False,False,False,False
983.52,45.79,12383.700000047684,992.2,55.34,5,,49.09999990463257,False,False,False,False,False,False,False
976.73,41.45,12437.900000095367,989.88,53.26,5,,54.200000047683716,False,False,False,False,False,False,False
968.52,35.6,12473.900000095367,986.67,50.61,5,,36.0,False,False,False,False,False,False,False
970.96,38.98,12511.100000143051,984.32,48.87,5,,37.200000047683716,False,False,False,False,False,False,False
959.01,37.43,12564.5,980.52,47.15,5,,53.39999985694885,False,False,False,False,False,False,False
930.26,32.38,12614.700000047684,972.98,44.94,5,,50.200000047683716,False,False,False,False,False,False,False
909.14,28.81,12650.0,963.41,42.52,5,,35.299999952316284,False,False,False,False,False,False,False
919.77,30.21,12689.200000047684,956.86,40.67,5,,39.200000047683716,False,False,False,False,False,False,False
925.97,35.34,12732.300000190737,952.23,39.87,5,,43.10000014305297,False,False,False,False,False,False,False
939.56,37.8,12773.400000095367,950.33,39.56,5,,41.09999990463075,False,False,False,False,False,False,False
900.33,36.07,12819.100000143051,942.83,39.04,5,,45.700000047683716,False,False,False,False,False,False,False
885.26,64.2,12860.100000143051,934.19,42.81,5,,41.0,False,False,False,False,False,False,False
872.5,80.84,12897.600000143051,924.94,48.51,5,,37.5,False,False,False,False,False,False,False
863.41,95.08,12947.800000190737,915.71,55.5,5,,50.200000047685535,False,False,False,False,True,False,False
867.46,93.2,12981.300000190737,908.47,61.15,5,,33.5,False,False,False,False,True,False,False
845.5,101.8,13031.700000047684,899.03,67.25,5,,50.39999985694703,False,False,False,False,True,False,False
834.7,119.73,13083.600000143051,889.38,75.12,5,,51.90000009536743,False,False,False,False,True,False,False
855.12,123.29,13120.300000190737,884.24,82.35,5,,36.700000047685535,False,False,False,False,True,False,False
859.42,126.74,13159.400000095367,880.52,89.01,5,,39.09999990463075,False,False,False,False,True,False,False
865.75,144.05,13203.200000047684,878.3,97.26,5,,43.799999952316284,False,False,False,False,True,False,False
876.24,144.92,13241.200000047684,877.99,104.41,5,,38.0,False,False,False,False,True,False,False
888.82,151.02,13279.800000190737,879.62,111.4,5,,38.60000014305297,False,False,False,False,True,False,False
875.71,152.52,13332.300000190737,879.03,117.57,5,,52.5,False,False,False,False,True,False,False
874.59,152.23,13382.200000047684,878.36,122.77,5,,49.89999985694703,False,False,False,False,True,False,False
855.12,159.93,13424.200000047684,874.88,128.35,5,,42.0,False,False,False,False,True,False,False
840.47,148.36,13461.800000190737,869.72,131.35,5,,37.60000014305297,False,False,False,False,True,False,False
818.2,153.08,13517.600000143051,861.99,134.61,5,,55.799999952314465,False,False,False,False,True,False,False
811.11,144.99,13556.300000190737,854.36,136.17,5,,38.700000047685535,False,False,False,False,False,False,False
827.4,136.17,13595.800000190737,850.32,136.17,5,,39.5,False,False,False,False,True,False,False
853.11,133.74,13648.300000190737,850.73,135.8,5,,52.5,False,False,False,False,True,False,False
878.02,140.05,13699.700000047684,854.83,136.44,5,,51.39999985694703,False,False,False,False,True,False,False
883.97,142.32,13737.700000047684,859.2,137.32,5,,38.0,False,False,False,False,True,False,False
